5	65	12	50	80	40	56	80	51	55	65	10	8	81	63	9	9	5	7	7	34	5	13	9	25	21	40	31
0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	110	80	150	110	50	60	20	0	90	110	92	140
70	68	63	4	70	68	63	80	77	72	66	62	67	84	78	77	2	2	3	2	2	3	3	4	3	3	2	2
0	70	0	0	0	0	0	0	0	0	0	0	90	90	100	90	0	0	0	0	0	0	0	0	0	0	0	0
0	0	40	0	20	30	40	50	40	80	55	0	20	0	0	20	30	0	0	0	0	0	0	0	20	0	0	0
999	80	60	30	100	100	80	70	70	90	80	60	70	60	70	90	0	10	0	70	20	0	0	0	10	0	0	10
120	120	100	80	120	110	100	140	120	130	120	90	120	140	110	100	0	0	0	0	0	0	0	0	0	0	0	0
5	60	0	1	20	20	0	10	10	60	40	0	40	40	60	10	20	10	3	1	10	4	0	2	1	1	0	40
3	1	91	1	3	1	1	2	2	2	0	4	2	3	1	1	110	83	48	4	30	53	20	31	1	95	113	82
105	115	70	10	150	150	115	149	80	115	115	0	149	150	149	149	0	0	0	0	0	0	0	0	0	0	1	0
0	0	0	0	120	0	120	0	0	150	150	150	150	150	150	0	0	0	0	0	150	0	0	0	0	0	0	0
90	130	80	80	120	80	100	130	117	60	20	80	60	100	100	100	10	20	10	0	10	10	10	20	20	5	30	10
0	0	110	0	125	130	0	1	100	120	108	107	70	90	87	0	0	0	0	0	0	0	0	0	0	120	0	140
90	80	0	0	100	100	90	110	90	80	90	0	80	100	100	90	0	0	0	0	0	0	0	0	0	0	0	0
0	5	0	2	58	35	14	58	65	8	10	0	45	58	26	25	0	0	25	0	0	0	0	0	0	0	0	0
40	60	11	60	30	20	20	20	40	30	40	20	30	40	30	30	30	30	0	0	10	0	0	30	0	30	40	0
30	0	0	0	20	0	0	20	20	50	40	0	20	100	999	50	80	0	0	0	90	20	0	0	0	70	20	80
50	70	75	40	70	60	60	100	0	40	60	20	100	90	90	100	0	0	0	0	0	0	0	0	0	0	0	0
30	30	5	30	30	30	20	30	30	30	30	30	50	50	40	20	30	30	10	30	50	50	1	5	0	50	50	50
0	0	20	0	0	60	0	50	40	90	0	0	0	60	0	0	0	0	20	0	0	130	70	110	0	50	60	60
0	60	0	30	40	30	0	60	60	0	0	0	0	50	50	40	10	0	0	0	0	0	0	0	0	0	40	0
74	120	90	70	60	80	70	100	40	30	50	10	20	30	80	80	20	0	0	0	0	0	2	10	0	0	60	44
50	70	20	0	70	80	70	50	60	70	70	70	30	10	30	80	20	70	30	10	0	50	0	0	10	20	20	20
90	100	60	40	90	90	40	70	120	70	80	20	10	50	50	70	0	0	0	0	0	0	0	0	0	0	0	0
40	50	0	0	60	3	0	30	60	40	10	0	40	80	75	75	0	0	0	0	0	0	0	0	0	2	1	0
20	100	40	0	90	100	70	79	80	100	80	50	11	80	81	88	0	0	0	0	0	0	0	0	0	0	0	0
20	10	40	0	0	30	0	10	0	30	30	0	10	30	30	10	50	0	10	20	30	50	10	0	50	0	30	10
97	101	40	61	76	60	50	44	41	77	120	40	61	85	76	61	0	23	21	0	51	0	0	0	0	0	20	30
35	50	30	50	10	25	30	10	20	15	20	20	20	70	20	30	40	85	80	60	80	60	10	10	40	40	40	70
150	150	0	0	140	0	0	150	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100	80	60	0	0	0	0	30	90	60	0	0	0	70	60	80	0	0	0	0	0	0	0	0	0	0	0	0
74	98	2	4	118	127	126	118	137	108	108	3	3	15	88	118	3	2	3	2	2	3	3	4	4	4	3	3
20	40	50	30	70	20	30	50	100	75	75	80	30	50	60	40	20	0	3	0	1	1	1	3	0	3	3	2
88	127	88	150	135	135	50	84	135	145	120	7	119	100	113	116	0	0	0	0	0	0	0	0	0	0	0	0
100	90	150	90	125	110	100	150	150	150	130	130	150	40	70	150	0	0	0	0	0	0	0	0	0	0	0	0
84	80	70	60	30	40	0	66	80	60	70	0	60	80	82	78	46	5	0	0	0	0	0	0	0	0	4	5
